排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
363,合肥师范学院,Hefei Normal University,,安徽,师范,129.8,,,,,,,,,,
364,广东石油化工学院,Guangdong University of Petrochemical Technology,,广东,综合,129.6,,,,,,,,,,
365,安徽科技学院,Anhui Science and Technology University,,安徽,师范,128.9,,,,,,,,,,
365,绵阳师范学院,Mianyang Teachers' College,,四川,师范,128.9,,,,,,,,,,
367,衢州学院,Quzhou University,,浙江,理工,128.8,,,,,,,,,,
368,贵阳学院,Guiyang University,,贵州,综合,128.6,,,,,,,,,,
369,惠州学院,Huizhou University,,广东,综合,128.5,,,,,,,,,,
370,三明学院,Sanming University,,福建,综合,128.4,,,,,,,,,,
371,齐齐哈尔大学,Qiqihar University,,黑龙江,综合,128,,,,,,,,,,
372,重庆三峡学院,Chongqing Three Gorges University,,重庆,综合,127.9,,,,,,,,,,
373,长春工程学院,Changchun Institute of Technology,,吉林,理工,127.8,,,,,,,,,,
373,丽水学院,Lishui University,,浙江,师范,127.8,,,,,,,,,,
375,衡阳师范学院,Hengyang Normal University,,湖南,师范,127.5,,,,,,,,,,
376,西藏农牧学院,Xizang Agricultural and Animal Husbandry University,,西藏,农业,127.4,,,,,,,,,,
377,攀枝花学院,Panzhihua University,,四川,综合,127.2,,,,,,,,,,
378,湘南学院,Xiangnan University,,湖南,理工,127.1,,,,,,,,,,
379,长春大学,Changchun University,,吉林,综合,127,,,,,,,,,,
379,铜仁学院,Tongren University,,贵州,综合,127,,,,,,,,,,
381,湖北科技学院,Hubei University of Science and Technology,,湖北,综合,126.9,,,,,,,,,,
381,洛阳理工学院,Luoyang Institute of Science and Technology,,河南,综合,126.9,,,,,,,,,,
383,中国民用航空飞行学院,Civil Aviation Flight University of China,,四川,理工,126.5,,,,,,,,,,
384,岭南师范学院,Lingnan Normal University,,广东,师范,125.7,,,,,,,,,,
385,阜阳师范大学,Fuyang Normal University,,安徽,师范,125.6,,,,,,,,,,
385,佳木斯大学,Jiamusi University,,黑龙江,综合,125.6,,,,,,,,,,
385,黔南民族师范学院,Qiannan Normal College for Nationalities,,贵州,师范,125.6,,,,,,,,,,
385,泰山学院,Taishan University,,山东,综合,125.6,,,,,,,,,,
389,黑龙江科技大学,Heilongjiang University of Science and Technology,,黑龙江,理工,125.5,,,,,,,,,,
390,龙岩学院,Longyan University,,福建,综合,125,,,,,,,,,,
391,防灾科技学院,Institute of Disaster Prevention,,河北,理工,124.8,,,,,,,,,,
392,成都师范学院,Chengdu Normal University,,四川,师范,124.6,,,,,,,,,,
393,内江师范学院,Neijiang Normal University,,四川,师范,124.2,,,,,,,,,,
394,滁州学院,Chuzhou University,,安徽,师范,123.9,,,,,,,,,,
395,湖北理工学院,Hubei Polytechnic University,,湖北,理工,123.6,,,,,,,,,,
396,周口师范学院,Zhoukou Normal University,,河南,师范,123.3,,,,,,,,,,
397,河北科技师范学院,Hebei Normal University of Science and Technology,,河北,师范,123.2,,,,,,,,,,
397,江苏第二师范学院,Jiangsu Second Normal University,,江苏,师范,123.2,,,,,,,,,,
399,山东航空学院,Shandong University of Aeronautics,,山东,理工,123.1,,,,,,,,,,
400,怀化学院,Huaihua University,,湖南,综合,122.8,,,,,,,,,,
401,沈阳工程学院,Shenyang Institute of Engineering,,辽宁,理工,122.4,,,,,,,,,,
402,莆田学院,Putian University,,福建,综合,122.3,,,,,,,,,,
403,湖南城市学院,Hunan City University,,湖南,综合,122.2,,,,,,,,,,
404,北华航天工业学院,North China Institute of Aerospace Engineering,,河北,理工,121.7,,,,,,,,,,
405,韶关学院,Shaoguan University,,广东,综合,121.6,,,,,,,,,,
406,湖南工程学院,Hunan Institute of Engineering,,湖南,理工,121.4,,,,,,,,,,
407,曲靖师范学院,Qujing Normal University,,云南,师范,121.2,,,,,,,,,,
408,湖南文理学院,Hunan University of Arts and Science,,湖南,综合,120.9,,,,,,,,,,
408,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,,浙江,理工,120.9,,,,,,,,,,
410,潍坊学院,Weifang University,,山东,综合,120.8,,,,,,,,,,
411,宜宾学院,Yibin University,,四川,综合,120.7,,,,,,,,,,
412,德州学院,Dezhou University,,山东,综合,120.4,,,,,,,,,,
412,皖西学院,West Anhui University,,安徽,师范,120.4,,,,,,,,,,
414,南阳师范学院,Nanyang Normal University,,河南,师范,119.9,,,,,,,,,,
415,北部湾大学,Beibu Gulf University,,广西,综合,119.8,,,,,,,,,,
416,贵州理工学院,Guizhou Institute of Technology,,贵州,理工,119.7,,,,,,,,,,
416,湖南科技学院,Hunan University of Science and Engineering,,湖南,综合,119.7,,,,,,,,,,
418,枣庄学院,Zaozhuang University,,山东,综合,119.6,,,,,,,,,,
419,牡丹江师范学院,Mudanjiang Normal University,,黑龙江,师范,119.5,,,,,,,,,,
420,宿迁学院,Suqian University,,江苏,综合,119.4,,,,,,,,,,
421,太原师范学院,Taiyuan Normal University,,山西,师范,119.2,,,,,,,,,,
422,邵阳学院,Shaoyang University,,湖南,理工,119.1,,,,,,,,,,
423,广东第二师范学院,Guangdong University of Education,,广东,师范,119,,,,,,,,,,
423,玉林师范学院,Yulin Normal University,,广西,师范,119,,,,,,,,,,
425,石家庄学院,Shijiazhuang University,,河北,师范,118.9,,,,,,,,,,
426,通化师范学院,Tonghua Normal University,,吉林,师范,118.8,,,,,,,,,,
426,西安文理学院,Xi'an University,,陕西,师范,118.8,,,,,,,,,,
428,河南工程学院,Henan University Of Engineering,,河南,理工,118.3,,,,,,,,,,
428,肇庆学院,Zhaoqing University,,广东,综合,118.3,,,,,,,,,,
428,遵义师范学院,Zunyi Normal University,,贵州,师范,118.3,,,,,,,,,,
431,黑龙江工程学院,Heilongjiang Institute of Technology,,黑龙江,理工,117.9,,,,,,,,,,
431,昆明学院,Kunming University,,云南,综合,117.9,,,,,,,,,,
433,宁德师范学院,Ningde Normal University,,福建,师范,117.7,,,,,,,,,,
434,南阳理工学院,Nanyang Institute Of Technology,,河南,理工,117,,,,,,,,,,
434,武夷学院,Wuyi University,,福建,综合,117,,,,,,,,,,
436,黄淮学院,Huanghuai University,,河南,师范,116.8,,,,,,,,,,
437,宜春学院,Yichun University,,江西,综合,116.6,,,,,,,,,,
438,吉林化工学院,Jilin Institute of Chemical Technology,,吉林,理工,116.5,,,,,,,,,,
439,许昌学院,Xuchang University,,河南,理工,116.2,,,,,,,,,,
440,韩山师范学院,Hanshan Normal University,,广东,师范,116,,,,,,,,,,
440,上饶师范学院,Shangrao Normal University,,江西,师范,116,,,,,,,,,,
442,宝鸡文理学院,Baoji University of Arts and Sciences,,陕西,师范,115.9,,,,,,,,,,
442,重庆第二师范学院,Chongqing University of Education,,重庆,师范,115.9,,,,,,,,,,
442,乐山师范学院,Leshan Normal University,,四川,师范,115.9,,,,,,,,,,
445,淮南师范学院,Huainan Normal University,,安徽,师范,115.8,,,,,,,,,,
445,温州理工学院,Wenzhou University of Technology,,浙江,理工,115.8,,,,,,,,,,
447,安阳师范学院,Anyang Normal University,,河南,师范,115.7,,,,,,,,,,
448,西昌学院,Xichang College,,四川,综合,115.5,,,,,,,,,,
449,广州航海学院,Guangzhou Maritime University,,广东,理工,115.3,,,,,,,,,,
450,河南城建学院,Henan University of Urban Construction,,河南,理工,115.1,,,,,,,,,,
451,齐鲁师范学院,Qilu Normal University,,山东,师范,115,,,,,,,,,,
452,湖州学院,Huzhou College,,浙江,师范,114.8,,,,,,,,,,
453,天水师范学院,Tianshui Normal University,,甘肃,师范,114.6,,,,,,,,,,
454,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",,湖南,师范,114.4,,,,,,,,,,
454,唐山师范学院,Tangshan Normal University,,河北,师范,114.4,,,,,,,,,,
456,商丘师范学院,Shangqiu Normal University,,河南,师范,114.3,,,,,,,,,,
457,成都工业学院,Chengdu Technological University,,四川,理工,114.2,,,,,,,,,,
457,六盘水师范学院,Liupanshui Normal University,,贵州,师范,114.2,,,,,,,,,,
459,巢湖学院,Chaohu University,,安徽,师范,114,,,,,,,,,,
460,贺州学院,Hezhou University,,广西,综合,113.9,,,,,,,,,,
460,内蒙古科技大学包头师范学院,Baotou Teachers' College,,内蒙古,综合,113.9,,,,,,,,,,
460,平顶山学院,Pingdingshan University,,河南,师范,113.9,,,,,,,,,,
463,南昌师范学院,Nanchang Normal University,,江西,师范,113.6,,,,,,,,,,
463,渭南师范学院,Weinan Normal University,,陕西,师范,113.6,,,,,,,,,,
465,宁夏师范大学,Ningxia Normal University,,宁夏,师范,113.2,,,,,,,,,,
466,湖南工学院,Hunan Institute of Technology,,湖南,理工,113.1,,,,,,,,,,
467,鞍山师范学院,Anshan Normal University,,辽宁,师范,112.8,,,,,,,,,,
468,哈尔滨学院,Harbin University,,黑龙江,综合,112.6,,,,,,,,,,
468,湖北工程学院,Hubei Engineering University,,湖北,综合,112.6,,,,,,,,,,
470,吉林工程技术师范学院,Jilin Engineering Normal University,,吉林,师范,112.5,,,,,,,,,,
471,廊坊师范学院,Langfang Normal University,,河北,师范,112.3,,,,,,,,,,
472,西安航空学院,Xi'an Aeronautical Institute,,陕西,理工,112.2,,,,,,,,,,
473,信阳农林学院,Xinyang Agriculture and Forestry University,,河南,农业,111.8,,,,,,,,,,
474,山西大同大学,Shanxi Datong University,,山西,综合,111.6,,,,,,,,,,
475,黄山学院,Huangshan University,,安徽,师范,111.4,,,,,,,,,,
475,嘉应学院,Jiaying University,,广东,综合,111.4,,,,,,,,,,
477,福建技术师范学院,Fujian Polytechnic Normal University,,福建,师范,111.1,,,,,,,,,,
478,四川旅游学院,Sichuan Tourism University,,四川,综合,110.9,,,,,,,,,,
478,咸阳师范学院,Xianyang Normal University,,陕西,师范,110.9,,,,,,,,,,
480,南京特殊教育师范学院,Nanjing Normal University of Special Education,,江苏,师范,110.8,,,,,,,,,,
480,宿州学院,Suzhou University,,安徽,师范,110.8,,,,,,,,,,
482,凯里学院,Kaili University,,贵州,综合,110.5,,,,,,,,,,
483,海南热带海洋学院,Hainan Tropical Ocean University,,海南,综合,110.4,,,,,,,,,,
483,九江学院,Jiujiang University,,江西,综合,110.4,,,,,,,,,,
485,山东管理学院,Shandong Management University,,山东,综合,110,,,,,,,,,,
486,玉溪师范学院,Yuxi Normal University,,云南,师范,109.8,,,,,,,,,,
487,安阳工学院,Anyang Institute of Technology,,河南,理工,109.7,,,,,,,,,,
487,新乡学院,Xinxiang University,,河南,理工,109.7,,,,,,,,,,
489,河西学院,HeXi University,,甘肃,综合,109.6,,,,,,,,,,
490,太原工业学院,Taiyuan Institute of Technology,,山西,理工,109.5,,,,,,,,,,
491,山东女子学院,Shandong Women's University,,山东,综合,109.1,,,,,,,,,,
491,伊犁师范大学,Yili Normal University,,新疆,师范,109.1,,,,,,,,,,
493,河北建筑工程学院,Hebei University of Architecture,,河北,理工,108.7,,,,,,,,,,
494,赤峰学院,Chifeng University,,内蒙古,综合,108.1,,,,,,,,,,
495,琼台师范学院,Qiongtai Normal University,,海南,师范,107.8,,,,,,,,,,
496,陇东学院,Longdong University,,甘肃,师范,107.7,,,,,,,,,,
496,苏州城市学院,Suzhou City University,,江苏,综合,107.7,,,,,,,,,,
498,营口理工学院,YingKou Institute of Technology,,辽宁,理工,107.6,,,,,,,,,,
499,大庆师范学院,Daqing Normal University,,黑龙江,综合,107,,,,,,,,,,
500,华北科技学院,North China Institute of Science and Technology,,河北,理工,106.8,,,,,,,,,,
500+,阿坝师范学院,ABA TEACHERS COLLEGE,,四川,师范,,,,,,,,,,,
500+,安康学院,Ankang University,,陕西,综合,,,,,,,,,,,
500+,安顺学院,Anshun University,,贵州,综合,,,,,,,,,,,
500+,白城师范学院,Baicheng Normal University,,吉林,师范,,,,,,,,,,,
500+,百色学院,Baise University,,广西,综合,,,,,,,,,,,
500+,保定学院,Baoding University,,河北,师范,,,,,,,,,,,
500+,保山学院,Baoshan University,,云南,师范,,,,,,,,,,,
500+,蚌埠学院,Bengbu University,,安徽,理工,,,,,,,,,,,
500+,亳州学院,Bozhou University,,安徽,师范,,,,,,,,,,,
500+,沧州师范学院,Cangzhou Normal University,,河北,师范,,,,,,,,,,,
500+,昌吉学院,Changji University,,新疆,师范,,,,,,,,,,,
500+,长沙师范学院,Changsha Normal University,,湖南,师范,,,,,,,,,,,
500+,长治学院,Changzhi University,,山西,师范,,,,,,,,,,,
500+,池州学院,Chizhou University,,安徽,师范,,,,,,,,,,,
500+,楚雄师范学院,Chuxiong Normal University,,云南,师范,,,,,,,,,,,
500+,滇西科技师范学院,West Yunnan University,,云南,师范,,,,,,,,,,,
500+,滇西应用技术大学,West Yunnan University of Applied Sciences,,云南,综合,,,,,,,,,,,
500+,鄂尔多斯应用技术学院,Ordos Institute of Technology,,内蒙古,综合,,,,,,,,,,,
500+,赣东学院,"East China Institute of Technology, Yangtze River College",,江西,理工,,,,,,,,,,,
500+,赣南科技学院,"College of Applied Science, Jiangxi University of Science and Technology",,江西,理工,,,,,,,,,,,
500+,甘肃民族师范学院,Gansu Normal University for Nationalities,,甘肃,师范,,,,,,,,,,,
500+,广西科技师范学院,Guangxi Science and Technology Normal University,,广西,师范,,,,,,,,,,,
500+,广西民族师范学院,Guangxi Normal University for Nationalities,,广西,师范,,,,,,,,,,,
500+,广西职业师范学院,Guangxi Vocational Normal University,,广西,综合,,,,,,,,,,,
500+,桂林航天工业学院,Guilin University of Aerospace Technology,,广西,理工,,,,,,,,,,,
500+,贵州工程应用技术学院,Guizhou University of Engineering Science,,贵州,师范,,,,,,,,,,,
500+,邯郸学院,Handan University,,河北,师范,,,,,,,,,,,
500+,汉江师范学院,Hanjiang Normal University,,湖北,师范,,,,,,,,,,,
500+,河北环境工程学院,Hebei University of Environmental Engineering,,河北,综合,,,,,,,,,,,
500+,河北民族师范学院,Hebei Normal University for Nationalities,,河北,师范,,,,,,,,,,,
500+,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,,河北,理工,,,,,,,,,,,
500+,河池学院,Hechi University,,广西,综合,,,,,,,,,,,
500+,合肥理工学院,Jianghuai College of Anhui University,,安徽,综合,,,,,,,,,,,
500+,黑河学院,Heihe University,,黑龙江,综合,,,,,,,,,,,
500+,黑龙江工业学院,Heilongjiang University of Technology,,黑龙江,理工,,,,,,,,,,,
500+,河南工学院,Henan Institute of Technology,,河南,理工,,,,,,,,,,,
500+,河南牧业经济学院,Henan University of Animal Husbandry and Economy,,河南,农业,,,,,,,,,,,
500+,衡水学院,Hengshui University,,河北,师范,,,,,,,,,,,
500+,河套学院,Hetao University,,内蒙古,综合,,,,,,,,,,,
500+,菏泽学院,Heze University,,山东,综合,,,,,,,,,,,
500+,红河学院,Honghe University,,云南,综合,,,,,,,,,,,
500+,呼伦贝尔学院,Hulunbuir University,,内蒙古,综合,,,,,,,,,,,
500+,吉林农业科技学院,Jilin Agricultural Science and Technology University,,吉林,农业,,,,,,,,,,,
500+,荆楚理工学院,Jingchu University of Technology,,湖北,理工,,,,,,,,,,,
500+,景德镇学院,Jingdezhen University,,江西,综合,,,,,,,,,,,
500+,集宁师范学院,Jining Normal University,,内蒙古,师范,,,,,,,,,,,
500+,济宁学院,Jining University,,山东,师范,,,,,,,,,,,
500+,晋中学院,Jinzhong University,,山西,师范,,,,,,,,,,,
500+,喀什大学,Kashi University,,新疆,师范,,,,,,,,,,,
500+,兰州城市学院,Lanzhou City University,,甘肃,综合,,,,,,,,,,,
500+,兰州工业学院,Lanzhou Institute of Technology,,甘肃,理工,,,,,,,,,,,
500+,兰州文理学院,Lanzhou University of Arts and Science,,甘肃,综合,,,,,,,,,,,
500+,辽东学院,Liaodong University,,辽宁,综合,,,,,,,,,,,
500+,辽宁科技学院,Liaoning Institute of Science and Technology,,辽宁,理工,,,,,,,,,,,
500+,吕梁学院,Lyuliang University,,山西,师范,,,,,,,,,,,
500+,萍乡学院,Pingxiang University,,江西,综合,,,,,,,,,,,
500+,普洱学院,Puer University,,云南,师范,,,,,,,,,,,
500+,山东农业工程学院,Shandong Agriculture and Engineering University,,山东,综合,,,,,,,,,,,
500+,山东青年政治学院,Shandong Youth University of Political Science,,山东,综合,,,,,,,,,,,
500+,山东石油化工学院,SHANDONG INSTITUTE OF PETROLEUM AND CHEMICAL TECHNOLOGY,,山东,理工,,,,,,,,,,,
500+,商洛学院,Shangluo University,,陕西,综合,,,,,,,,,,,
500+,山西电子科技学院,Modern College of Humanities and Sciences of Shanxi Normal University,,山西,理工,,,,,,,,,,,
500+,山西工程技术学院,Shanxi Institute of Technology,,山西,理工,,,,,,,,,,,
500+,山西工学院,SHANXI COLLEGE OF TECHNOLOGY,,山西,理工,,,,,,,,,,,
500+,山西科技学院,Huake College of Taiyuan University of Science and Technology,,山西,理工,,,,,,,,,,,
500+,山西能源学院,Shanxi Institute of Energy,,山西,综合,,,,,,,,,,,
500+,陕西学前师范学院,Shaanxi Xueqian Normal University,,陕西,师范,,,,,,,,,,,
500+,四川民族学院,Sichuan Minzu College,,四川,师范,,,,,,,,,,,
500+,四川文理学院,Sichuan University of Arts and Science,,四川,综合,,,,,,,,,,,
500+,绥化学院,Suihua University,,黑龙江,综合,,,,,,,,,,,
500+,太原学院,Taiyuan University,,山西,理工,,,,,,,,,,,
500+,泰州学院,Taizhou University,,江苏,师范,,,,,,,,,,,
500+,唐山学院,Tangshan University,,河北,理工,,,,,,,,,,,
500+,天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,,天津,理工,,,,,,,,,,,
500+,文山学院,Wenshan University,,云南,师范,,,,,,,,,,,
500+,梧州学院,Wuzhou University,,广西,综合,,,,,,,,,,,
500+,邢台学院,Xingtai University,,河北,师范,,,,,,,,,,,
500+,兴义民族师范学院,Xingyi Normal University for Nationalities,,贵州,师范,,,,,,,,,,,
500+,新疆工程学院,Xinjiang Institute of Engineering,,新疆,理工,,,,,,,,,,,
500+,新疆理工学院,Xinjiang Institute of Technology,,新疆,综合,,,,,,,,,,,
500+,新疆政法学院,Xinjiang Institute Of Political Science And Law,,新疆,综合,,,,,,,,,,,
500+,新余学院,Xinyu University,,江西,综合,,,,,,,,,,,
500+,忻州师范学院,Xinzhou Teachers University,,山西,师范,,,,,,,,,,,
500+,运城学院,Yuncheng University,,山西,师范,,,,,,,,,,,
500+,豫章师范学院,Yuzhang Normal University,,江西,师范,,,,,,,,,,,
500+,张家口学院,Zhangjiakou University,,河北,综合,,,,,,,,,,,
500+,昭通学院,Zhaotong University,,云南,师范,,,,,,,,,,,
500+,郑州工程技术学院,Zhengzhou University of Technology,,河南,理工,,,,,,,,,,,
500+,郑州师范学院,Zhengzhou Normal University,,河南,师范,,,,,,,,,,,
