school_code,school_name,province,city,school_nature,education_level,school_type,is_public
A001,北京大学,,,公办,本科,,True
A002,中国人民大学,,,公办,本科,,True
A003,清华大学,,,公办,本科,,True
A004,北京交通大学,,,公办,本科,,True
A005,北京工业大学,,,公办,本科,,True
A006,北京航空航天大学,,,公办,本科,,True
A007,北京理工大学,,,公办,本科,,True
A008,北京科技大学,,,公办,本科,,True
A009,北方工业大学,,,公办,本科,,True
A010,北京化工大学,,,公办,本科,,True
A011,北京工商大学,,,公办,本科,,True
A012,北京服装学院,,,公办,本科,,True
A013,北京邮电大学,,,公办,本科,,True
A015,北京印刷学院,,,公办,本科,,True
A016,北京建筑大学,,,公办,本科,,True
A017,北京石油化工学院,,,公办,本科,,True
A019,中国农业大学,,,公办,本科,,True
A020,北京农学院,,,公办,本科,,True
A022,北京林业大学,,,公办,本科,,True
A023,北京协和医学院,,,公办,本科,,True
A025,首都医科大学,,,公办,本科,,True
A026,北京中医药大学,,,公办,本科,,True
A027,北京师范大学,,,公办,本科,,True
A028,首都师范大学,,,公办,本科,,True
A030,北京外国语大学,,,公办,本科,,True
A031,北京第二外国语学院,,,公办,本科,,True
A032,北京语言大学,,,公办,本科,,True
A033,中国传媒大学,,,公办,本科,,True
A034,中央财经大学,,,公办,本科,,True
A036,对外经济贸易大学,,,公办,本科,,True
A037,北京物资学院,,,公办,本科,,True
A038,首都经济贸易大学,,,公办,本科,,True
A041,中国人民公安大学,,,公办,本科,,True
A043,北京体育大学,,,公办,本科,,True
A047,中央美术学院,,,公办,本科,,True
A048,中央戏剧学院,,,公办,本科,,True
A049,中国戏曲学院,,,公办,本科,,True
A050,北京电影学院,,,公办,本科,,True
A051,北京舞蹈学院,,,公办,本科,,True
A052,中央民族大学,,,公办,本科,,True
A053,中国政法大学,,,公办,本科,,True
A054,华北电力大学(北京),,,公办,本科,,True
A055,南开大学,,,公办,本科,,True
A056,天津大学,,,公办,本科,,True
A057,天津科技大学,,,公办,本科,,True
A058,天津工业大学,,,公办,本科,,True
A059,中国民航大学,,,公办,本科,,True
A060,天津理工大学,,,公办,本科,,True
A061,天津农学院,,,公办,本科,,True
A062,天津医科大学,,,公办,本科,,True
A063,天津中医药大学,,,公办,本科,,True
A065,天津师范大学,,,公办,本科,,True
A066,天津职业技术师范大学,,,公办,本科,,True
A068,天津外国语大学,,,公办,本科,,True
A069,天津商业大学,,,公办,本科,,True
A070,天津财经大学,,,公办,本科,,True
A071,天津体育学院,,,公办,本科,,True
A073,天津美术学院,,,公办,本科,,True
A075,河北大学,,,公办,本科,,True
A076,河北工程大学,,,公办,本科,,True
A077,河北地质大学,,,公办,本科,,True
A078,华北水利水电大学,,,公办,本科,,True
A079,华北电力大学(保定),,,公办,本科,,True
A080,河北工业大学,,,公办,本科,,True
A081,华北理工大学,,,公办,本科,,True
A082,河北科技大学,,,公办,本科,,True
A084,河北建筑工程学院,,,公办,本科,,True
A085,河北水利电力学院,,,公办,本科,,True
A086,河北农业大学,,,公办,本科,,True
A089,河北医科大学,,,公办,本科,,True
A092,河北北方学院,,,公办,本科,,True
A093,承德医学院,,,公办,本科,,True
A094,河北师范大学,,,公办,本科,,True
A096,保定学院,,,公办,本科,,True
A098,河北民族师范学院,,,公办,本科,,True
A099,唐山师范学院,,,公办,本科,,True
A100,廊坊师范学院,,,公办,本科,,True
A101,衡水学院,,,公办,本科,,True
A102,石家庄学院,,,公办,本科,,True
A103,邯郸学院,,,公办,本科,,True
A104,邢台学院,,,公办,本科,,True
A105,沧州师范学院,,,公办,本科,,True
A107,石家庄铁道大学,,,公办,本科,,True
A108,山西大学,,,公办,本科,,True
A109,太原科技大学,,,公办,本科,,True
A110,中北大学,,,公办,本科,,True
A112,太原理工大学,,,公办,本科,,True
A113,山西农业大学,,,公办,本科,,True
A114,山西医科大学,,,公办,本科,,True
A117,长治医学院,,,公办,本科,,True
A118,山西师范大学,,,公办,本科,,True
A119,太原师范学院,,,公办,本科,,True
A120,山西大同大学,,,公办,本科,,True
A121,晋中学院,,,公办,本科,,True
A122,长治学院,,,公办,本科,,True
A123,运城学院,,,公办,本科,,True
A124,忻州师范学院,,,公办,本科,,True
A125,山西财经大学,,,公办,本科,,True
A126,内蒙古大学,,,公办,本科,,True
A127,内蒙古科技大学,,,公办,本科,,True
A128,内蒙古工业大学,,,公办,本科,,True
A129,内蒙古农业大学,,,公办,本科,,True
A132,内蒙古医科大学,,,公办,本科,,True
A135,内蒙古师范大学,,,公办,本科,,True
A136,内蒙古民族大学,,,公办,本科,,True
A138,赤峰学院,,,公办,本科,,True
A139,内蒙古财经大学,,,公办,本科,,True
A140,辽宁大学,,,公办,本科,,True
A141,大连理工大学,,,公办,本科,,True
A142,沈阳工业大学,,,公办,本科,,True
A143,沈阳航空航天大学,,,公办,本科,,True
A144,沈阳理工大学,,,公办,本科,,True
A145,东北大学,,,公办,本科,,True
A146,辽宁科技大学,,,公办,本科,,True
A147,辽宁工程技术大学,,,公办,本科,,True
A148,辽宁石油化工大学,,,公办,本科,,True
A149,沈阳化工大学,,,公办,本科,,True
A150,大连交通大学,,,公办,本科,,True
A151,大连海事大学,,,公办,本科,,True
A152,大连工业大学,,,公办,本科,,True
A153,沈阳建筑大学,,,公办,本科,,True
A154,辽宁工业大学,,,公办,本科,,True
A157,沈阳农业大学,,,公办,本科,,True
A158,大连海洋大学,,,公办,本科,,True
A159,中国医科大学,,,公办,本科,,True
A160,锦州医科大学,,,公办,本科,,True
A161,大连医科大学,,,公办,本科,,True
A162,辽宁中医药大学,,,公办,本科,,True
A163,沈阳药科大学,,,公办,本科,,True
A164,沈阳医学院,,,公办,本科,,True
A165,辽宁师范大学,,,公办,本科,,True
A166,沈阳师范大学,,,公办,本科,,True
A167,渤海大学,,,公办,本科,,True
A169,鞍山师范学院,,,公办,本科,,True
A171,朝阳师范高等专科学校,,,公办,本科,,True
A172,大连外国语大学,,,公办,本科,,True
A173,东北财经大学,,,公办,本科,,True
A176,沈阳体育学院,,,公办,本科,,True
A177,沈阳音乐学院,,,公办,本科,,True
A178,鲁迅美术学院,,,公办,本科,,True
A180,锦州师范高等专科学校,,,公办,本科,,True
A181,营口职业技术学院,,,公办,本科,,True
A182,铁岭师范高等专科学校,,,公办,本科,,True
A183,吉林大学,,,公办,本科,,True
A184,延边大学,,,公办,本科,,True
A186,长春理工大学,,,公办,本科,,True
A188,东北电力大学,,,公办,本科,,True
A190,长春工业大学,,,公办,本科,,True
A191,吉林建筑大学,,,公办,本科,,True
A192,吉林化工学院,,,公办,本科,,True
A193,吉林农业大学,,,公办,本科,,True
A199,长春中医药大学,,,公办,本科,,True
A200,东北师范大学,,,公办,本科,,True
A201,北华大学,,,公办,本科,,True
A202,通化师范学院,,,公办,本科,,True
A203,吉林师范大学,,,公办,本科,,True
A204,吉林工程技术师范学院,,,公办,本科,,True
A205,长春师范大学,,,公办,本科,,True
A206,白城师范学院,,,公办,本科,,True
A207,吉林财经大学,,,公办,本科,,True
A208,吉林体育学院,,,公办,本科,,True
A209,吉林艺术学院,,,公办,本科,,True
A212,黑龙江大学,,,公办,本科,,True
A213,哈尔滨工业大学,,,公办,本科,,True
A214,哈尔滨理工大学,,,公办,本科,,True
A216,燕山大学,,,公办,本科,,True
A217,哈尔滨工程大学,,,公办,本科,,True
A219,黑龙江科技大学,,,公办,本科,,True
A220,东北石油大学,,,公办,本科,,True
A222,佳木斯大学,,,公办,本科,,True
A223,黑龙江八一农垦大学,,,公办,本科,,True
A224,东北农业大学,,,公办,本科,,True
A225,东北林业大学,,,公办,本科,,True
A226,哈尔滨医科大学,,,公办,本科,,True
A228,黑龙江中医药大学,,,公办,本科,,True
A229,牡丹江医学院,,,公办,本科,,True
A231,哈尔滨师范大学,,,公办,本科,,True
A232,齐齐哈尔大学,,,公办,本科,,True
A233,牡丹江师范学院,,,公办,本科,,True
A234,哈尔滨学院,,,公办,本科,,True
A235,大庆师范学院,,,公办,本科,,True
A236,绥化学院,,,公办,本科,,True
A238,齐齐哈尔高等师范专科学校,,,公办,本科,,True
A240,哈尔滨商业大学,,,公办,本科,,True
A242,哈尔滨体育学院,,,公办,本科,,True
A245,哈尔滨金融学院,,,公办,本科,,True
A246,复旦大学,,,公办,本科,,True
A247,同济大学,,,公办,本科,,True
A248,上海交通大学,,,公办,本科,,True
A251,华东理工大学,,,公办,本科,,True
A252,上海理工大学,,,公办,本科,,True
A254,上海海事大学,,,公办,本科,,True
A255,东华大学,,,公办,本科,,True
A256,上海电力大学,,,公办,本科,,True
A259,上海应用技术大学,,,公办,本科,,True
A262,上海健康医学院,,,公办,本科,,True
A264,上海海洋大学,,,公办,本科,,True
A268,上海中医药大学,,,公办,本科,,True
A269,华东师范大学,,,公办,本科,,True
A270,上海师范大学,,,公办,本科,,True
A271,上海外国语大学,,,公办,本科,,True
A272,上海财经大学,,,公办,本科,,True
A273,上海对外经贸大学,,,公办,本科,,True
A274,上海海关学院,,,公办,本科,,True
A275,上海旅游高等专科学校,,,公办,本科,,True
A276,华东政法大学,,,公办,本科,,True
A277,上海体育大学,,,公办,本科,,True
A278,上海音乐学院,,,公办,本科,,True
A279,上海戏剧学院,,,公办,本科,,True
A280,上海大学,,,公办,本科,,True
A284,南京大学,,,公办,本科,,True
A285,苏州大学,,,公办,本科,,True
A286,东南大学,,,公办,本科,,True
A287,南京航空航天大学,,,公办,本科,,True
A288,南京理工大学,,,公办,本科,,True
A289,江苏科技大学,,,公办,本科,,True
A290,中国矿业大学,,,公办,本科,,True
A291,南京工业大学,,,公办,本科,,True
A292,常州大学,,,公办,本科,,True
A293,南京邮电大学,,,公办,本科,,True
A294,河海大学,,,公办,本科,,True
A295,江南大学,,,公办,本科,,True
A298,南京林业大学,,,公办,本科,,True
A299,江苏大学,,,公办,本科,,True
A300,南京信息工程大学,,,公办,本科,,True
A304,南通大学,,,公办,本科,,True
A307,南京农业大学,,,公办,本科,,True
A312,南京医科大学,,,公办,本科,,True
A313,徐州医科大学,,,公办,本科,,True
A315,南京中医药大学,,,公办,本科,,True
A316,中国药科大学,,,公办,本科,,True
A319,南京师范大学,,,公办,本科,,True
A320,江苏师范大学,,,公办,本科,,True
A323,淮阴师范学院,,,公办,本科,,True
A324,盐城师范学院,,,公办,本科,,True
A327,南京财经大学,,,公办,本科,,True
A330,南京体育学院,,,公办,本科,,True
A331,南京艺术学院,,,公办,本科,,True
A332,苏州科技大学,,,公办,本科,,True
A333,常熟理工学院,,,公办,本科,,True
A335,浙江大学,,,公办,本科,,True
A336,杭州电子科技大学,,,公办,本科,,True
A337,浙江工业大学,,,公办,本科,,True
A338,浙江理工大学,,,公办,本科,,True
A340,浙江海洋大学,,,公办,本科,,True
A341,浙江农林大学,,,公办,本科,,True
A343,温州医科大学,,,公办,本科,,True
A344,浙江中医药大学,,,公办,本科,,True
A345,浙江师范大学,,,公办,本科,,True
A346,杭州师范大学,,,公办,本科,,True
A347,湖州师范学院,,,公办,本科,,True
A349,绍兴文理学院,,,公办,本科,,True
A350,台州学院,,,公办,本科,,True
A351,温州大学,,,公办,本科,,True
A352,丽水学院,,,公办,本科,,True
A353,浙江工商大学,,,公办,本科,,True
A354,嘉兴学院,,,公办,本科,,True
A355,中国美术学院,,,公办,本科,,True
A356,中国计量大学,,,公办,本科,,True
A357,安徽大学,,,公办,本科,,True
A358,中国科学技术大学,,,公办,本科,,True
A359,合肥工业大学,,,公办,本科,,True
A360,安徽工业大学,,,公办,本科,,True
A361,安徽理工大学,,,公办,本科,,True
A363,安徽工程大学,,,公办,本科,,True
A364,安徽农业大学,,,公办,本科,,True
A366,安徽医科大学,,,公办,本科,,True
A367,蚌埠医学院,,,公办,本科,,True
A369,安徽中医药大学,,,公办,本科,,True
A370,安徽师范大学,,,公办,本科,,True
A371,阜阳师范大学,,,公办,本科,,True
A372,安庆师范大学,,,公办,本科,,True
A373,淮北师范大学,,,公办,本科,,True
A375,黄山学院,,,公办,本科,,True
A377,滁州学院,,,公办,本科,,True
A378,安徽财经大学,,,公办,本科,,True
A379,宿州学院,,,公办,本科,,True
A380,巢湖学院,,,公办,本科,,True
A381,淮南师范学院,,,公办,本科,,True
A383,铜陵学院,,,公办,本科,,True
A384,厦门大学,,,公办,本科,,True
A385,华侨大学,,,公办,本科,,True
A386,福州大学,,,公办,本科,,True
A388,福建理工大学,,,公办,本科,,True
A389,福建农林大学,,,公办,本科,,True
A390,集美大学,,,公办,本科,,True
A392,福建医科大学,,,公办,本科,,True
A393,福建中医药大学,,,公办,本科,,True
A394,福建师范大学,,,公办,本科,,True
A395,闽江学院,,,公办,本科,,True
A397,武夷学院,,,公办,本科,,True
A398,宁德师范学院,,,公办,本科,,True
A399,泉州师范学院,,,公办,本科,,True
A402,闽南师范大学,,,公办,本科,,True
A403,南昌大学,,,公办,本科,,True
A404,华东交通大学,,,公办,本科,,True
A405,东华理工大学,,,公办,本科,,True
A406,南昌航空大学,,,公办,本科,,True
A407,江西理工大学,,,公办,本科,,True
A408,景德镇陶瓷大学,,,公办,本科,,True
A410,江西农业大学,,,公办,本科,,True
A412,江西中医药大学,,,公办,本科,,True
A413,赣南医学院,,,公办,本科,,True
A414,江西师范大学,,,公办,本科,,True
A416,上饶师范学院,,,公办,本科,,True
A417,宜春学院,,,公办,本科,,True
A418,赣南师范大学,,,公办,本科,,True
A419,井冈山大学,,,公办,本科,,True
A421,江西财经大学,,,公办,本科,,True
A422,山东大学,,,公办,本科,,True
A423,中国海洋大学,,,公办,本科,,True
A424,山东科技大学,,,公办,本科,,True
A425,中国石油大学(华东),,,公办,本科,,True
A426,青岛科技大学,,,公办,本科,,True
A427,济南大学,,,公办,本科,,True
A429,青岛理工大学,,,公办,本科,,True
A430,山东建筑大学,,,公办,本科,,True
A431,齐鲁工业大学,,,公办,本科,,True
A433,山东理工大学,,,公办,本科,,True
A434,山东农业大学,,,公办,本科,,True
A435,青岛农业大学,,,公办,本科,,True
A438,潍坊医学院,,,公办,本科,,True
A439,山东第一医科大学,,,公办,本科,,True
A440,滨州医学院,,,公办,本科,,True
A441,山东中医药大学,,,公办,本科,,True
A442,山东医学高等专科学校,,,公办,本科,,True
A443,济宁医学院,,,公办,本科,,True
A444,菏泽医学专科学校,,,公办,本科,,True
A445,山东师范大学,,,公办,本科,,True
A446,曲阜师范大学,,,公办,本科,,True
A447,聊城大学,,,公办,本科,,True
A448,德州学院,,,公办,本科,,True
A449,滨州学院,,,公办,本科,,True
A451,鲁东大学,,,公办,本科,,True
A452,临沂大学,,,公办,本科,,True
A453,泰山学院,,,公办,本科,,True
A454,济宁学院,,,公办,本科,,True
A455,菏泽学院,,,公办,本科,,True
A456,山东财经大学,,,公办,本科,,True
A457,山东体育学院,,,公办,本科,,True
A458,山东艺术学院,,,公办,本科,,True
A459,郑州大学,,,公办,本科,,True
A460,河南理工大学,,,公办,本科,,True
A462,郑州轻工业大学,,,公办,本科,,True
A463,河南工业大学,,,公办,本科,,True
A464,河南科技大学,,,公办,本科,,True
A465,中原工学院,,,公办,本科,,True
A466,河南农业大学,,,公办,本科,,True
A467,河南科技学院,,,公办,本科,,True
A469,河南牧业经济学院,,,公办,本科,,True
A471,河南中医药大学,,,公办,本科,,True
A472,新乡医学院,,,公办,本科,,True
A475,河南大学,,,公办,本科,,True
A476,河南师范大学,,,公办,本科,,True
A477,信阳师范大学,,,公办,本科,,True
A478,周口师范学院,,,公办,本科,,True
A479,安阳师范学院,,,公办,本科,,True
A480,许昌学院,,,公办,本科,,True
A481,南阳师范学院,,,公办,本科,,True
A482,洛阳师范学院,,,公办,本科,,True
A483,商丘师范学院,,,公办,本科,,True
A484,河南财经政法大学,,,公办,本科,,True
A485,郑州航空工业管理学院,,,公办,本科,,True
A486,武汉大学,,,公办,本科,,True
A487,华中科技大学,,,公办,本科,,True
A488,武汉科技大学,,,公办,本科,,True
A489,长江大学,,,公办,本科,,True
A490,武汉工程大学,,,公办,本科,,True
A491,中国地质大学(武汉),,,公办,本科,,True
A495,武汉纺织大学,,,公办,本科,,True
A496,武汉轻工大学,,,公办,本科,,True
A497,武汉理工大学,,,公办,本科,,True
A500,湖北工业大学,,,公办,本科,,True
A504,华中农业大学,,,公办,本科,,True
A507,湖北中医药大学,,,公办,本科,,True
A511,华中师范大学,,,公办,本科,,True
A512,湖北大学,,,公办,本科,,True
A513,湖北师范大学,,,公办,本科,,True
A514,黄冈师范学院,,,公办,本科,,True
A517,湖北民族大学,,,公办,本科,,True
A518,汉江师范学院,,,公办,本科,,True
A519,湖北文理学院,,,公办,本科,,True
A520,中南财经政法大学,,,公办,本科,,True
A522,武汉体育学院,,,公办,本科,,True
A523,湖北美术学院,,,公办,本科,,True
A524,中南民族大学,,,公办,本科,,True
A525,湖北汽车工业学院,,,公办,本科,,True
A528,湖北工程学院,,,公办,本科,,True
A530,湘潭大学,,,公办,本科,,True
A531,吉首大学,,,公办,本科,,True
A532,湖南大学,,,公办,本科,,True
A533,中南大学,,,公办,本科,,True
A534,湖南科技大学,,,公办,本科,,True
A536,长沙理工大学,,,公办,本科,,True
A537,湖南农业大学,,,公办,本科,,True
A538,中南林业科技大学,,,公办,本科,,True
A541,湖南中医药大学,,,公办,本科,,True
A542,湖南师范大学,,,公办,本科,,True
A543,湖南理工学院,,,公办,本科,,True
A545,湘南学院,,,公办,本科,,True
A546,衡阳师范学院,,,公办,本科,,True
A547,邵阳学院,,,公办,本科,,True
A548,怀化学院,,,公办,本科,,True
A549,湖南文理学院,,,公办,本科,,True
A551,湖南科技学院,,,公办,本科,,True
A553,湖南人文科技学院,,,公办,本科,,True
A554,湖南工商大学,,,公办,本科,,True
A555,南华大学,,,公办,本科,,True
A558,中山大学,,,公办,本科,,True
A559,暨南大学,,,公办,本科,,True
A560,汕头大学,,,公办,本科,,True
A561,华南理工大学,,,公办,本科,,True
A564,华南农业大学,,,公办,本科,,True
A566,广东海洋大学,,,公办,本科,,True
A571,广东医科大学,,,公办,本科,,True
A572,广州中医药大学,,,公办,本科,,True
A573,广东药科大学,,,公办,本科,,True
A574,华南师范大学,,,公办,本科,,True
A576,韶关学院,,,公办,本科,,True
A577,惠州学院,,,公办,本科,,True
A578,韩山师范学院,,,公办,本科,,True
A579,岭南师范学院,,,公办,本科,,True
A580,肇庆学院,,,公办,本科,,True
A582,嘉应学院,,,公办,本科,,True
A585,广州体育学院,,,公办,本科,,True
A587,星海音乐学院,,,公办,本科,,True
A588,广东技术师范大学,,,公办,本科,,True
A589,海南大学,,,公办,本科,,True
A590,深圳大学,,,公办,本科,,True
A592,广东财经大学,,,公办,本科,,True
A593,广西大学,,,公办,本科,,True
A594,广西科技大学,,,公办,本科,,True
A595,桂林电子科技大学,,,公办,本科,,True
A596,桂林理工大学,,,公办,本科,,True
A598,广西医科大学,,,公办,本科,,True
A599,右江民族医学院,,,公办,本科,,True
A600,广西中医药大学,,,公办,本科,,True
A601,桂林医学院,,,公办,本科,,True
A602,广西师范大学,,,公办,本科,,True
A603,南宁师范大学,,,公办,本科,,True
A605,河池学院,,,公办,本科,,True
A606,玉林师范学院,,,公办,本科,,True
A607,广西艺术学院,,,公办,本科,,True
A608,广西民族大学,,,公办,本科,,True
A609,百色学院,,,公办,本科,,True
A610,四川大学,,,公办,本科,,True
A611,重庆大学,,,公办,本科,,True
A613,西南交通大学,,,公办,本科,,True
A614,电子科技大学,,,公办,本科,,True
A615,西南石油大学,,,公办,本科,,True
A616,成都理工大学,,,公办,本科,,True
A617,重庆邮电大学,,,公办,本科,,True
A618,重庆交通大学,,,公办,本科,,True
A619,西南科技大学,,,公办,本科,,True
A621,成都信息工程大学,,,公办,本科,,True
A622,四川轻化工大学,,,公办,本科,,True
A623,西华大学,,,公办,本科,,True
A624,中国民用航空飞行学院,,,公办,本科,,True
A626,四川农业大学,,,公办,本科,,True
A628,西昌学院,,,公办,本科,,True
A631,重庆医科大学,,,公办,本科,,True
A632,西南医科大学,,,公办,本科,,True
A633,成都中医药大学,,,公办,本科,,True
A634,川北医学院,,,公办,本科,,True
A635,西南大学,,,公办,本科,,True
A636,四川师范大学,,,公办,本科,,True
A637,重庆师范大学,,,公办,本科,,True
A638,西华师范大学,,,公办,本科,,True
A639,绵阳师范学院,,,公办,本科,,True
A640,内江师范学院,,,公办,本科,,True
A642,重庆文理学院,,,公办,本科,,True
A643,重庆三峡学院,,,公办,本科,,True
A644,四川文理学院,,,公办,本科,,True
A646,阿坝师范学院,,,公办,本科,,True
A647,长江师范学院,,,公办,本科,,True
A649,乐山师范学院,,,公办,本科,,True
A650,四川外国语大学,,,公办,本科,,True
A651,西南财经大学,,,公办,本科,,True
A652,西南政法大学,,,公办,本科,,True
A653,成都体育学院,,,公办,本科,,True
A654,四川音乐学院,,,公办,本科,,True
A655,四川美术学院,,,公办,本科,,True
A656,西南民族大学,,,公办,本科,,True
A657,贵州大学,,,公办,本科,,True
A660,贵州医科大学,,,公办,本科,,True
A661,遵义医科大学,,,公办,本科,,True
A663,贵州师范大学,,,公办,本科,,True
A664,遵义师范学院,,,公办,本科,,True
A665,铜仁学院,,,公办,本科,,True
A666,兴义民族师范学院,,,公办,本科,,True
A667,安顺学院,,,公办,本科,,True
A669,凯里学院,,,公办,本科,,True
A670,黔南民族师范学院,,,公办,本科,,True
A671,贵州财经大学,,,公办,本科,,True
A672,贵州民族大学,,,公办,本科,,True
A673,云南大学,,,公办,本科,,True
A674,昆明理工大学,,,公办,本科,,True
A676,云南农业大学,,,公办,本科,,True
A677,西南林业大学,,,公办,本科,,True
A678,昆明医科大学,,,公办,本科,,True
A679,大理大学,,,公办,本科,,True
A680,云南中医药大学,,,公办,本科,,True
A681,云南师范大学,,,公办,本科,,True
A684,曲靖师范学院,,,公办,本科,,True
A685,普洱学院,,,公办,本科,,True
A686,保山学院,,,公办,本科,,True
A687,红河学院,,,公办,本科,,True
A689,云南财经大学,,,公办,本科,,True
A690,云南艺术学院,,,公办,本科,,True
A691,云南民族大学,,,公办,本科,,True
A693,西藏农牧学院,,,公办,本科,,True
A694,西藏大学,,,公办,本科,,True
A695,西藏民族大学,,,公办,本科,,True
A697,西北大学,,,公办,本科,,True
A698,西安交通大学,,,公办,本科,,True
A699,西北工业大学,,,公办,本科,,True
A700,西安理工大学,,,公办,本科,,True
A701,西安电子科技大学,,,公办,本科,,True
A702,西安工业大学,,,公办,本科,,True
A703,西安建筑科技大学,,,公办,本科,,True
A704,西安科技大学,,,公办,本科,,True
A705,西安石油大学,,,公办,本科,,True
A708,陕西科技大学,,,公办,本科,,True
A709,西安工程大学,,,公办,本科,,True
A710,长安大学,,,公办,本科,,True
A712,西北农林科技大学,,,公办,本科,,True
A716,陕西中医药大学,,,公办,本科,,True
A718,陕西师范大学,,,公办,本科,,True
A719,延安大学,,,公办,本科,,True
A720,陕西理工大学,,,公办,本科,,True
A721,宝鸡文理学院,,,公办,本科,,True
A722,咸阳师范学院,,,公办,本科,,True
A723,渭南师范学院,,,公办,本科,,True
A724,西安外国语大学,,,公办,本科,,True
A726,西北政法大学,,,公办,本科,,True
A727,西安体育学院,,,公办,本科,,True
A728,西安音乐学院,,,公办,本科,,True
A729,西安美术学院,,,公办,本科,,True
A730,兰州大学,,,公办,本科,,True
A731,兰州理工大学,,,公办,本科,,True
A732,兰州交通大学,,,公办,本科,,True
A733,甘肃农业大学,,,公办,本科,,True
A735,甘肃中医药大学,,,公办,本科,,True
A736,西北师范大学,,,公办,本科,,True
A737,兰州城市学院,,,公办,本科,,True
A738,陇东学院,,,公办,本科,,True
A739,天水师范学院,,,公办,本科,,True
A740,河西学院,,,公办,本科,,True
A741,兰州财经大学,,,公办,本科,,True
A742,西北民族大学,,,公办,本科,,True
A743,青海大学,,,公办,本科,,True
A746,青海师范大学,,,公办,本科,,True
A748,青海民族大学,,,公办,本科,,True
A749,宁夏大学,,,公办,本科,,True
A752,宁夏医科大学,,,公办,本科,,True
A753,宁夏师范学院,,,公办,本科,,True
A755,新疆大学,,,公办,本科,,True
A757,塔里木大学,,,公办,本科,,True
A758,新疆农业大学,,,公办,本科,,True
A759,石河子大学,,,公办,本科,,True
A760,新疆医科大学,,,公办,本科,,True
A762,新疆师范大学,,,公办,本科,,True
A763,喀什大学,,,公办,本科,,True
A764,伊犁师范大学,,,公办,本科,,True
A765,和田师范专科学校,,,公办,本科,,True
A766,新疆财经大学,,,公办,本科,,True
A768,新疆艺术学院,,,公办,本科,,True
A792,天津城建大学,,,公办,本科,,True
A798,河北科技师范学院,,,公办,本科,,True
A809,山西中医药大学,,,公办,本科,,True
A812,吕梁学院,,,公办,本科,,True
